"site_key","latitude","longitude","site_id"
"43.50000000_-8.63333300",43.5,-8.633333,"43.50000000_-8.63333300"
"43.71666700_-122.21666700",43.716667,-122.216667,"43.71666700_-122.21666700"
"43.75000000_-103.81666700",43.75,-103.816667,"43.75000000_-103.81666700"
"43.76666700_-121.98333300",43.766667,-121.983333,"43.76666700_-121.98333300"
"43.80000000_-103.88333300",43.8,-103.883333,"43.80000000_-103.88333300"
"43.90722200_-121.65388900",43.907222,-121.653889,"43.90722200_-121.65388900"
"44.09000000_-123.41000000",44.09,-123.41,"44.09000000_-123.41000000"
"44.10000000_-118.83000000",44.1,-118.83,"44.10000000_-118.83000000"
"44.28333300_-121.95000000",44.283333,-121.95,"44.28333300_-121.95000000"
"44.47000000_-110.81000000",44.47,-110.81,"44.47000000_-110.81000000"
"44.55200000_-121.40000000",44.552,-121.4,"44.55200000_-121.40000000"
"44.55555600_-0.11111100",44.555556,-0.111111,"44.55555600_-0.11111100"
"44.63000000_-110.79000000",44.63,-110.79,"44.63000000_-110.79000000"
"44.82000000_-103.85000000",44.82,-103.85,"44.82000000_-103.85000000"
"44.82000000_-110.34000000",44.82,-110.34,"44.82000000_-110.34000000"
"44.91666700_-72.91666700",44.916667,-72.916667,"44.91666700_-72.91666700"
"45.35000000_-115.28333300",45.35,-115.283333,"45.35000000_-115.28333300"
"45.40000000_-93.20000000",45.4,-93.2,"45.40000000_-93.20000000"
"45.41666700_-93.16666700",45.416667,-93.166667,"45.41666700_-93.16666700"
"45.42000000_-93.17000000",45.42,-93.17,"45.42000000_-93.17000000"
"45.43000000_-115.91000000",45.43,-115.91,"45.43000000_-115.91000000"
"45.57000000_-121.73000000",45.57,-121.73,"45.57000000_-121.73000000"
"45.58333300_-93.16666700",45.583333,-93.166667,"45.58333300_-93.16666700"
"45.75000000_7.50000000",45.75,7.5,"45.75000000_7.50000000"
"46.00000000_-114.00000000",46,-114,"46.00000000_-114.00000000"
"46.00000000_-115.00000000",46,-115,"46.00000000_-115.00000000"
"46.11000000_-117.85000000",46.11,-117.85,"46.11000000_-117.85000000"
"46.41666700_-122.43333300",46.416667,-122.433333,"46.41666700_-122.43333300"
"46.45000000_-115.60000000",46.45,-115.6,"46.45000000_-115.60000000"
"46.59166700_-116.24222200",46.591667,-116.242222,"46.59166700_-116.24222200"
"46.70000000_-111.70000000",46.7,-111.7,"46.70000000_-111.70000000"
"46.91666700_-112.98333300",46.916667,-112.983333,"46.91666700_-112.98333300"
"47.00000000_-116.00000000",47,-116,"47.00000000_-116.00000000"
"47.32861100_-94.51500000",47.328611,-94.515,"47.32861100_-94.51500000"
"47.45000000_-76.33000000",47.45,-76.33,"47.45000000_-76.33000000"
"47.58000000_133.63000000",47.58,133.63,"47.58000000_133.63000000"
"47.66666700_-94.08333300",47.666667,-94.083333,"47.66666700_-94.08333300"
"47.69972200_-98.66333300",47.699722,-98.663333,"47.69972200_-98.66333300"
"47.72000000_-113.24000000",47.72,-113.24,"47.72000000_-113.24000000"
"47.92000000_-120.53000000",47.92,-120.53,"47.92000000_-120.53000000"
"48.35000000_-120.55000000",48.35,-120.55,"48.35000000_-120.55000000"
"48.49000000_-120.51000000",48.49,-120.51,"48.49000000_-120.51000000"
"48.50000000_-54.00000000",48.5,-54,"48.50000000_-54.00000000"
"48.50000000_-95.00000000",48.5,-95,"48.50000000_-95.00000000"
"48.58333300_-117.43333300",48.583333,-117.433333,"48.58333300_-117.43333300"
